$
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   43.3   998.7   25.1   86.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19753    12     7  2023     0     0    73    82   121     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     0     0     0  4203  4102  4700    18   503  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     8     8   139   139   139     0    40 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    46   299    46     0     1    19    13     0
   190    52   288    46     0     1    18    15     0
   180    58   276    47     0     1    18    17     0
   170    70   263    47     0     1    18    15     0
   160    82   232    48     0     1    18    13     0
   150    94   183    48     0     1    17    11     0
   140   106   136    49    -1     1    17     9     0
   130   117    87    51    -1     1    16     8     0
   120   118    40    58    -1     1    14     8     0
   110   119    43    70    -1     1    13     9     0
   100   120    47    80    -1     1    11    10     0
    90   121    53    88    -1     1     9    10     0
    80   132    59    92    -1     1     7    11     0
    70   301    57    94    -2     1     8     9     0
    60   469    50    92    -3     1    10     7     0
    50   638    42    87    -5     1    11     5     0
    40   806    36    83    -6     1    12     4     0
    30   975    29    73    -8     1    14     2     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   43.2   998.8   25.0   86.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19752    12     7  2023     0    10    54    48   127     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  4503  4503  5200    18   503  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     8     8   139   138   129     0    45 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    63   215    84    -1     1    15    14 -9999
   190    70   209    84     0     1    15    14 -9999
   180    77   202    85     0     1    14    14 -9999
   170    87   198    86    -1     1    14    13 -9999
   160    97   177    85    -3     1    14    13 -9999
   150   107   145    81    -4     1    14    12 -9999
   140   117   113    75    -5     1    13    11 -9999
   130   126    84    65    -6     1    13    11 -9999
   120   128    59    45    -6     1    14     9 -9999
   110   130    49    50    -6     1    14     7 -9999
   100   132    39    61    -7     1    15     6 -9999
    90   134    31    74    -7     1    15     4 -9999
    80   145    26    99    -7     1    16     3 -9999
    70   292    17    83    -7     1    15     5 -9999
    60   439    23    10    -6     1    15     7 -9999
    50   586    47   350    -5     1    14    10 -9999
    40   733    70   343    -5     1    14    12 -9999
    30   880    94   339    -4     1    14    15 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   43.0   998.8   25.0   85.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19751    12     7  2023     0    20    38    14   115     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     6     1     1     0  5002  5004  5700    18   503  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     8     8   138   137   129     0    48 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    84   172   322     1     1    16     7     0
   190    93   164   320    -1     1    16     7     0
   180   102   156   318    -2     1    16     7     0
